13 10 1 2
14 10 1 2
15 10 1 2
16 15 1 2
16.5 15 1 2
17 20 1 2
17.5 25 1 3
18 30 1 3
18.5 40 2 4
19 50 2 5
19.5 60 2 6
20 70 2 7
